,popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,explicit,disc_number,track_number,uri,tempo,type,key,loudness,mode,speechiness,liveness,valence,danceability,energy,track_href,analysis_url,duration_ms,time_signature,acousticness,instrumentalness,artist_genres,artist_popularity,album_genres,album_popularity,album_release_date
0,78,5UWwZ5lm5PKu6eKsHAGxOk,7jy3rLJdDQY21OgRLCZ9sD,30ly6F6Xl0TKmyBCU50Khv,Everlong,Foo Fighters,The Colour And The Shape,False,1,11,spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,158.066,audio_features,11,-5.541,0,0.0367,0.0805,0.364,0.413,0.881,https://api.spotify.com/v1/tracks/5UWwZ5lm5PKu6eKsHAGxOk,https://api.spotify.com/v1/audio-analysis/5UWwZ5lm5PKu6eKsHAGxOk,250547,4,5.99e-05,0.000308,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",78,[],74,1997-05-20
1,71,4dVbhS6OiYvFikshyaQaCN,7jy3rLJdDQY21OgRLCZ9sD,30ly6F6Xl0TKmyBCU50Khv,My Hero,Foo Fighters,The Colour And The Shape,False,1,7,spotify:track:4dVbhS6OiYvFikshyaQaCN,77.106,audio_features,9,-4.212,1,0.0567,0.0575,0.311,0.398,0.927,https://api.spotify.com/v1/tracks/4dVbhS6OiYvFikshyaQaCN,https://api.spotify.com/v1/audio-analysis/4dVbhS6OiYvFikshyaQaCN,260027,4,6.2e-05,0.000177,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",78,[],74,1997-05-20
2,69,44wXefe8WB9Fd6xwtmAwbR,7jy3rLJdDQY21OgRLCZ9sD,30ly6F6Xl0TKmyBCU50Khv,Monkey Wrench,Foo Fighters,The Colour And The Shape,False,1,2,spotify:track:44wXefe8WB9Fd6xwtmAwbR,174.217,audio_features,4,-4.276,1,0.0752,0.149,0.555,0.401,0.953,https://api.spotify.com/v1/tracks/44wXefe8WB9Fd6xwtmAwbR,https://api.spotify.com/v1/audio-analysis/44wXefe8WB9Fd6xwtmAwbR,231480,4,1.83e-05,2.56e-05,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",78,[],74,1997-05-20
3,55,0M5xRyxGpFFDfzN2x0wdpH,7jy3rLJdDQY21OgRLCZ9sD,30ly6F6Xl0TKmyBCU50Khv,Hey Johnny Park!,Foo Fighters,The Colour And The Shape,False,1,3,spotify:track:0M5xRyxGpFFDfzN2x0wdpH,84.974,audio_features,2,-5.299,1,0.0305,0.565,0.487,0.473,0.741,https://api.spotify.com/v1/tracks/0M5xRyxGpFFDfzN2x0wdpH,https://api.spotify.com/v1/audio-analysis/0M5xRyxGpFFDfzN2x0wdpH,248267,4,7.64e-05,0.00114,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",78,[],74,1997-05-20
4,55,7pS2OVdIWviLpz5GOtJLzz,7jy3rLJdDQY21OgRLCZ9sD,30ly6F6Xl0TKmyBCU50Khv,Walking After You,Foo Fighters,The Colour And The Shape,False,1,12,spotify:track:7pS2OVdIWviLpz5GOtJLzz,108.651,audio_features,4,-10.701,1,0.0259,0.0802,0.352,0.325,0.571,https://api.spotify.com/v1/tracks/7pS2OVdIWviLpz5GOtJLzz,https://api.spotify.com/v1/audio-analysis/7pS2OVdIWviLpz5GOtJLzz,303813,4,0.74,0.557,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",78,[],74,1997-05-20
5,47,2ceA7CWWx6yIHdzppN8nLF,7jy3rLJdDQY21OgRLCZ9sD,30ly6F6Xl0TKmyBCU50Khv,February Stars,Foo Fighters,The Colour And The Shape,False,1,10,spotify:track:2ceA7CWWx6yIHdzppN8nLF,76.066,audio_features,2,-8.272,1,0.0372,0.126,0.227,0.267,0.316,https://api.spotify.com/v1/tracks/2ceA7CWWx6yIHdzppN8nLF,https://api.spotify.com/v1/audio-analysis/2ceA7CWWx6yIHdzppN8nLF,289347,4,0.00825,0.151,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",78,[],74,1997-05-20
6,46,05TcC5ZN9rp8Glx8A9C2Nd,7jy3rLJdDQY21OgRLCZ9sD,30ly6F6Xl0TKmyBCU50Khv,Up In Arms,Foo Fighters,The Colour And The Shape,False,1,6,spotify:track:05TcC5ZN9rp8Glx8A9C2Nd,166.645,audio_features,0,-5.288,1,0.0831,0.254,0.178,0.262,0.885,https://api.spotify.com/v1/tracks/05TcC5ZN9rp8Glx8A9C2Nd,https://api.spotify.com/v1/audio-analysis/05TcC5ZN9rp8Glx8A9C2Nd,135573,4,0.000359,0.00426,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",78,[],74,1997-05-20
7,46,2KvhVhBR7MIMZUQNRBiY2k,7jy3rLJdDQY21OgRLCZ9sD,30ly6F6Xl0TKmyBCU50Khv,Doll,Foo Fighters,The Colour And The Shape,False,1,1,spotify:track:2KvhVhBR7MIMZUQNRBiY2k,119.231,audio_features,7,-11.793,1,0.0305,0.257,0.195,0.491,0.263,https://api.spotify.com/v1/tracks/2KvhVhBR7MIMZUQNRBiY2k,https://api.spotify.com/v1/audio-analysis/2KvhVhBR7MIMZUQNRBiY2k,83800,3,0.52,0.182,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",78,[],74,1997-05-20
8,46,3yIUusX4NApzRSAkxZFrJg,7jy3rLJdDQY21OgRLCZ9sD,30ly6F6Xl0TKmyBCU50Khv,My Poor Brain,Foo Fighters,The Colour And The Shape,False,1,4,spotify:track:3yIUusX4NApzRSAkxZFrJg,126.252,audio_features,6,-3.92,0,0.0387,0.0984,0.578,0.556,0.91,https://api.spotify.com/v1/tracks/3yIUusX4NApzRSAkxZFrJg,https://api.spotify.com/v1/audio-analysis/3yIUusX4NApzRSAkxZFrJg,213560,4,0.00015,0.356,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",78,[],74,1997-05-20
9,46,56ucsSaTrjiQaokbbDASOR,7jy3rLJdDQY21OgRLCZ9sD,30ly6F6Xl0TKmyBCU50Khv,Wind Up,Foo Fighters,The Colour And The Shape,False,1,5,spotify:track:56ucsSaTrjiQaokbbDASOR,128.234,audio_features,6,-3.545,0,0.0714,0.316,0.389,0.441,0.981,https://api.spotify.com/v1/tracks/56ucsSaTrjiQaokbbDASOR,https://api.spotify.com/v1/audio-analysis/56ucsSaTrjiQaokbbDASOR,150653,4,4.39e-05,0.000438,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",78,[],74,1997-05-20
