popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,explicit,disc_number,track_number,uri,tempo,type,key,loudness,mode,speechiness,liveness,valence,danceability,energy,track_href,analysis_url,duration_ms,time_signature,acousticness,instrumentalness,artist_genres,artist_popularity,album_genres,album_popularity,album_release_date
90,2pXpURmn6zC5ZYDMms6fwa,5v8jlSmAQfrkTjAlpUfWtu,4lculT3R9mxFqdmXOCLuY7,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,Greatest Christmas Songs,False,1,8,spotify:track:2pXpURmn6zC5ZYDMms6fwa,112.874,audio_features,7,-12.25,1,0.0599,0.116,0.718,0.724,0.276,https://api.spotify.com/v1/tracks/2pXpURmn6zC5ZYDMms6fwa,https://api.spotify.com/v1/audio-analysis/2pXpURmn6zC5ZYDMms6fwa,155933,4,0.76,0.0,"['adult standards', 'brill building pop', 'easy listening']",80,[],83,1999-08-20
69,5mKxNjNnRFpO9Muzw3Ug0u,5v8jlSmAQfrkTjAlpUfWtu,4lculT3R9mxFqdmXOCLuY7,(There's No Place Like) Home for the Holidays - 1954 Version,Perry Como,Greatest Christmas Songs,False,1,17,spotify:track:5mKxNjNnRFpO9Muzw3Ug0u,78.043,audio_features,0,-12.797,1,0.0316,0.133,0.736,0.69,0.188,https://api.spotify.com/v1/tracks/5mKxNjNnRFpO9Muzw3Ug0u,https://api.spotify.com/v1/audio-analysis/5mKxNjNnRFpO9Muzw3Ug0u,171333,4,0.897,0.0,"['adult standards', 'brill building pop', 'easy listening']",80,[],83,1999-08-20
65,7kYDU5WPTcNSOkJMRv9tsp,5v8jlSmAQfrkTjAlpUfWtu,4lculT3R9mxFqdmXOCLuY7,O Holy Night - 1968 Version,Perry Como,Greatest Christmas Songs,False,1,13,spotify:track:7kYDU5WPTcNSOkJMRv9tsp,83.624,audio_features,0,-13.236,1,0.0338,0.0988,0.0799,0.154,0.138,https://api.spotify.com/v1/tracks/7kYDU5WPTcNSOkJMRv9tsp,https://api.spotify.com/v1/audio-analysis/7kYDU5WPTcNSOkJMRv9tsp,220133,3,0.931,1e-06,"['adult standards', 'brill building pop', 'easy listening']",80,[],83,1999-08-20
60,01FPQJHDGVAVpcaTwMIoS2,5v8jlSmAQfrkTjAlpUfWtu,4lculT3R9mxFqdmXOCLuY7,I Saw Mommy Kissing Santa Claus,Perry Como,Greatest Christmas Songs,False,1,18,spotify:track:01FPQJHDGVAVpcaTwMIoS2,114.132,audio_features,11,-13.21,1,0.0369,0.264,0.628,0.72,0.134,https://api.spotify.com/v1/tracks/01FPQJHDGVAVpcaTwMIoS2,https://api.spotify.com/v1/audio-analysis/01FPQJHDGVAVpcaTwMIoS2,145693,4,0.902,0.0,"['adult standards', 'brill building pop', 'easy listening']",80,[],83,1999-08-20
58,4qA85jP8zDFQEB7c8GrUTS,5v8jlSmAQfrkTjAlpUfWtu,4lculT3R9mxFqdmXOCLuY7,Have Yourself a Merry Little Christmas,Perry Como,Greatest Christmas Songs,False,1,1,spotify:track:4qA85jP8zDFQEB7c8GrUTS,112.481,audio_features,10,-9.737,1,0.0286,0.0911,0.548,0.461,0.46,https://api.spotify.com/v1/tracks/4qA85jP8zDFQEB7c8GrUTS,https://api.spotify.com/v1/audio-analysis/4qA85jP8zDFQEB7c8GrUTS,169333,4,0.491,0.0,"['adult standards', 'brill building pop', 'easy listening']",80,[],83,1999-08-20
56,6JMxqLhm8PakcIKbdeEy0V,5v8jlSmAQfrkTjAlpUfWtu,4lculT3R9mxFqdmXOCLuY7,Frosty the Snowman,Perry Como,Greatest Christmas Songs,False,1,4,spotify:track:6JMxqLhm8PakcIKbdeEy0V,157.253,audio_features,10,-12.795,1,0.189,0.0864,0.825,0.596,0.253,https://api.spotify.com/v1/tracks/6JMxqLhm8PakcIKbdeEy0V,https://api.spotify.com/v1/audio-analysis/6JMxqLhm8PakcIKbdeEy0V,140000,4,0.844,0.0,"['adult standards', 'brill building pop', 'easy listening']",80,[],83,1999-08-20
58,0vJXil4qDbtkwXmxo0Rl1T,5v8jlSmAQfrkTjAlpUfWtu,4lculT3R9mxFqdmXOCLuY7,The Twelve Days of Christmas,Perry Como,Greatest Christmas Songs,False,1,14,spotify:track:0vJXil4qDbtkwXmxo0Rl1T,138.101,audio_features,5,-14.347,1,0.0653,0.324,0.774,0.597,0.2,https://api.spotify.com/v1/tracks/0vJXil4qDbtkwXmxo0Rl1T,https://api.spotify.com/v1/audio-analysis/0vJXil4qDbtkwXmxo0Rl1T,240200,4,0.889,0.0,"['adult standards', 'brill building pop', 'easy listening']",80,[],83,1999-08-20
51,2EeueHuHpE8MzcpFaptcQb,5v8jlSmAQfrkTjAlpUfWtu,4lculT3R9mxFqdmXOCLuY7,Do You Hear What I Hear,Perry Como,Greatest Christmas Songs,False,1,6,spotify:track:2EeueHuHpE8MzcpFaptcQb,107.076,audio_features,7,-12.985,1,0.0287,0.161,0.329,0.391,0.281,https://api.spotify.com/v1/tracks/2EeueHuHpE8MzcpFaptcQb,https://api.spotify.com/v1/audio-analysis/2EeueHuHpE8MzcpFaptcQb,193467,4,0.631,0.0,"['adult standards', 'brill building pop', 'easy listening']",80,[],83,1999-08-20
49,1es9yJEFoaY0ndi3AaesDx,5v8jlSmAQfrkTjAlpUfWtu,4lculT3R9mxFqdmXOCLuY7,Christmas Bells,Perry Como,Greatest Christmas Songs,False,1,2,spotify:track:1es9yJEFoaY0ndi3AaesDx,169.8,audio_features,5,-17.275,0,0.0341,0.298,0.176,0.187,0.129,https://api.spotify.com/v1/tracks/1es9yJEFoaY0ndi3AaesDx,https://api.spotify.com/v1/audio-analysis/1es9yJEFoaY0ndi3AaesDx,163173,5,0.909,0.000481,"['adult standards', 'brill building pop', 'easy listening']",80,[],83,1999-08-20
49,7pakF2fkD7TkpWznlDp71E,5v8jlSmAQfrkTjAlpUfWtu,4lculT3R9mxFqdmXOCLuY7,There Is No Christmas Like a Home Christmas,Perry Como,Greatest Christmas Songs,False,1,10,spotify:track:7pakF2fkD7TkpWznlDp71E,115.77,audio_features,0,-10.329,1,0.0284,0.0596,0.605,0.43,0.343,https://api.spotify.com/v1/tracks/7pakF2fkD7TkpWznlDp71E,https://api.spotify.com/v1/audio-analysis/7pakF2fkD7TkpWznlDp71E,168000,4,0.444,0.0,"['adult standards', 'brill building pop', 'easy listening']",80,[],83,1999-08-20
