,popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,explicit,disc_number,track_number,uri,tempo,type,key,loudness,mode,speechiness,liveness,valence,danceability,energy,track_href,analysis_url,duration_ms,time_signature,acousticness,instrumentalness,artist_genres,artist_popularity,album_genres,album_popularity,album_release_date
0,86,3AJwUDP919kvQ9QcozQPxg,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,Yellow,Coldplay,Parachutes,False,1,5,spotify:track:3AJwUDP919kvQ9QcozQPxg,173.372,audio_features,11.0,-7.227,1.0,0.0281,0.234,0.285,0.429,0.661,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,266773.0,4.0,0.00239,0.000121,"['permanent wave', 'pop']",91,[],82,2000-07-10
1,80,7D0RhFcb3CrfPuTJ0obrod,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,Sparks,Coldplay,Parachutes,False,1,4,spotify:track:7D0RhFcb3CrfPuTJ0obrod,102.617,audio_features,1.0,-10.506,1.0,0.0281,0.104,0.165,0.371,0.268,https://api.spotify.com/v1/tracks/7D0RhFcb3CrfPuTJ0obrod,https://api.spotify.com/v1/audio-analysis/7D0RhFcb3CrfPuTJ0obrod,227093.0,3.0,0.748,0.0517,"['permanent wave', 'pop']",91,[],82,2000-07-10
2,73,0R8P9KfGJCDULmlEoBagcO,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,Trouble,Coldplay,Parachutes,False,1,6,spotify:track:0R8P9KfGJCDULmlEoBagcO,139.757,audio_features,11.0,-7.496,0.0,0.0314,0.17,0.195,0.565,0.546,https://api.spotify.com/v1/tracks/0R8P9KfGJCDULmlEoBagcO,https://api.spotify.com/v1/audio-analysis/0R8P9KfGJCDULmlEoBagcO,273427.0,4.0,0.189,0.0015,"['permanent wave', 'pop']",91,[],82,2000-07-10
3,67,2QhURnm7mQDxBb5jWkbDug,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,Don't Panic,Coldplay,Parachutes,False,1,1,spotify:track:2QhURnm7mQDxBb5jWkbDug,122.062,audio_features,0.0,-8.409,1.0,0.0335,0.107,0.453,0.602,0.612,https://api.spotify.com/v1/tracks/2QhURnm7mQDxBb5jWkbDug,https://api.spotify.com/v1/audio-analysis/2QhURnm7mQDxBb5jWkbDug,136867.0,4.0,0.206,0.00607,"['permanent wave', 'pop']",91,[],82,2000-07-10
4,67,0qksx8mV28lztYIZ1om8ml,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,Shiver,Coldplay,Parachutes,False,1,2,spotify:track:0qksx8mV28lztYIZ1om8ml,116.705,audio_features,4.0,-6.186,1.0,0.0487,0.0688,0.286,0.396,0.803,https://api.spotify.com/v1/tracks/0qksx8mV28lztYIZ1om8ml,https://api.spotify.com/v1/audio-analysis/0qksx8mV28lztYIZ1om8ml,304200.0,3.0,0.0334,0.0,"['permanent wave', 'pop']",91,[],82,2000-07-10
5,61,5TB6QgrF0RPIxSCGfRDLoe,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,We Never Change,Coldplay,Parachutes,False,1,9,spotify:track:5TB6QgrF0RPIxSCGfRDLoe,136.939,audio_features,6.0,-10.801,0.0,0.0296,0.105,0.131,0.433,0.288,https://api.spotify.com/v1/tracks/5TB6QgrF0RPIxSCGfRDLoe,https://api.spotify.com/v1/audio-analysis/5TB6QgrF0RPIxSCGfRDLoe,249400.0,3.0,0.535,0.000169,"['permanent wave', 'pop']",91,[],82,2000-07-10
6,63,2DHgvPQD1jApRnT1DBZdrS,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,High Speed,Coldplay,Parachutes,False,1,8,spotify:track:2DHgvPQD1jApRnT1DBZdrS,154.466,audio_features,7.0,-9.342,0.0,0.0301,0.0961,0.249,0.495,0.525,https://api.spotify.com/v1/tracks/2DHgvPQD1jApRnT1DBZdrS,https://api.spotify.com/v1/audio-analysis/2DHgvPQD1jApRnT1DBZdrS,256467.0,4.0,0.396,0.00736,"['permanent wave', 'pop']",91,[],82,2000-07-10
7,60,4qzoHxgp42ylb18ga1SWTL,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,Parachutes,Coldplay,Parachutes,False,1,7,spotify:track:4qzoHxgp42ylb18ga1SWTL,137.001,audio_features,4.0,-18.348,1.0,0.0518,0.138,0.375,0.555,0.0845,https://api.spotify.com/v1/tracks/4qzoHxgp42ylb18ga1SWTL,https://api.spotify.com/v1/audio-analysis/4qzoHxgp42ylb18ga1SWTL,46200.0,4.0,0.871,2.27e-06,"['permanent wave', 'pop']",91,[],82,2000-07-10
8,59,2mLgOcRkEgq89j8WstUpui,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,Spies,Coldplay,Parachutes,False,1,3,spotify:track:2mLgOcRkEgq89j8WstUpui,147.599,audio_features,1.0,-5.524,0.0,0.0319,0.0635,0.0732,0.309,0.673,https://api.spotify.com/v1/tracks/2mLgOcRkEgq89j8WstUpui,https://api.spotify.com/v1/audio-analysis/2mLgOcRkEgq89j8WstUpui,318773.0,4.0,0.0236,0.000144,"['permanent wave', 'pop']",91,[],82,2000-07-10
9,58,1RNtm45kw0hPMBz7gKiIYu,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,Everything's Not Lost - Includes Hidden Track 'Life Is For Living',Coldplay,Parachutes,False,1,10,spotify:track:1RNtm45kw0hPMBz7gKiIYu,135.643,audio_features,6.0,-7.35,0.0,0.0368,0.197,0.0763,0.374,0.456,https://api.spotify.com/v1/tracks/1RNtm45kw0hPMBz7gKiIYu,https://api.spotify.com/v1/audio-analysis/1RNtm45kw0hPMBz7gKiIYu,436440.0,4.0,0.104,0.000176,"['permanent wave', 'pop']",91,[],82,2000-07-10
