,popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,explicit,disc_number,track_number,uri,tempo,type,key,loudness,mode,speechiness,liveness,valence,danceability,energy,track_href,analysis_url,duration_ms,time_signature,acousticness,instrumentalness,artist_genres,artist_popularity,album_genres,album_popularity,album_release_date
0,82,1zwMYTA5nlNjZxYrvBB2pV,4dpARuHxo51G3z768sgnrY,0Lg1uZvI312TPqxNWShFXL,Someone Like You,Adele,21,False,1,11,spotify:track:1zwMYTA5nlNjZxYrvBB2pV,135.187,audio_features,9,-8.251,1,0.0281,0.0996,0.294,0.556,0.319,https://api.spotify.com/v1/tracks/1zwMYTA5nlNjZxYrvBB2pV,https://api.spotify.com/v1/audio-analysis/1zwMYTA5nlNjZxYrvBB2pV,285240,4,0.893,0.0,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2011-01-24
1,82,1c8gk2PeTE04A1pIDH9YMk,4dpARuHxo51G3z768sgnrY,0Lg1uZvI312TPqxNWShFXL,Rolling in the Deep,Adele,21,True,1,1,spotify:track:1c8gk2PeTE04A1pIDH9YMk,104.948,audio_features,8,-5.114,1,0.0298,0.0473,0.507,0.73,0.769,https://api.spotify.com/v1/tracks/1c8gk2PeTE04A1pIDH9YMk,https://api.spotify.com/v1/audio-analysis/1c8gk2PeTE04A1pIDH9YMk,228093,4,0.138,0.0,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2011-01-24
2,80,73CMRj62VK8nUS4ezD2wvi,4dpARuHxo51G3z768sgnrY,0Lg1uZvI312TPqxNWShFXL,Set Fire to the Rain,Adele,21,False,1,5,spotify:track:73CMRj62VK8nUS4ezD2wvi,107.993,audio_features,2,-3.882,0,0.0249,0.112,0.446,0.603,0.67,https://api.spotify.com/v1/tracks/73CMRj62VK8nUS4ezD2wvi,https://api.spotify.com/v1/audio-analysis/73CMRj62VK8nUS4ezD2wvi,242974,4,0.00408,1.68e-06,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2011-01-24
3,74,2A73XBDBQgmdXO8VsXPWIs,4dpARuHxo51G3z768sgnrY,0Lg1uZvI312TPqxNWShFXL,Rumour Has It,Adele,21,False,1,2,spotify:track:2A73XBDBQgmdXO8VsXPWIs,120.052,audio_features,0,-5.014,1,0.0446,0.167,0.574,0.612,0.749,https://api.spotify.com/v1/tracks/2A73XBDBQgmdXO8VsXPWIs,https://api.spotify.com/v1/audio-analysis/2A73XBDBQgmdXO8VsXPWIs,223267,4,0.615,0.0,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2011-01-24
4,73,4oy98QoABnGKpvapDkI525,4dpARuHxo51G3z768sgnrY,0Lg1uZvI312TPqxNWShFXL,Turning Tables,Adele,21,False,1,3,spotify:track:4oy98QoABnGKpvapDkI525,155.476,audio_features,0,-6.044,0,0.0285,0.132,0.211,0.353,0.446,https://api.spotify.com/v1/tracks/4oy98QoABnGKpvapDkI525,https://api.spotify.com/v1/audio-analysis/4oy98QoABnGKpvapDkI525,250000,4,0.95,1.35e-05,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2011-01-24
5,70,4RyjMERDcCJHTkFpXzgUw4,4dpARuHxo51G3z768sgnrY,0Lg1uZvI312TPqxNWShFXL,Don't You Remember,Adele,21,False,1,4,spotify:track:4RyjMERDcCJHTkFpXzgUw4,115.025,audio_features,3,-5.713,1,0.0304,0.0866,0.227,0.644,0.4,https://api.spotify.com/v1/tracks/4RyjMERDcCJHTkFpXzgUw4,https://api.spotify.com/v1/audio-analysis/4RyjMERDcCJHTkFpXzgUw4,243200,4,0.214,0.0,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2011-01-24
6,69,43dcCpx19I0R4zLr4KH1UC,4dpARuHxo51G3z768sgnrY,0Lg1uZvI312TPqxNWShFXL,One And Only,Adele,21,False,1,9,spotify:track:43dcCpx19I0R4zLr4KH1UC,154.974,audio_features,5,-5.306,1,0.0287,0.165,0.185,0.528,0.468,https://api.spotify.com/v1/tracks/43dcCpx19I0R4zLr4KH1UC,https://api.spotify.com/v1/audio-analysis/43dcCpx19I0R4zLr4KH1UC,348227,3,0.295,0.0,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2011-01-24
7,63,08YJEcxGtYXwCGqXMZDiyQ,4dpARuHxo51G3z768sgnrY,0Lg1uZvI312TPqxNWShFXL,Take It All,Adele,21,False,1,7,spotify:track:08YJEcxGtYXwCGqXMZDiyQ,138.096,audio_features,0,-8.44,1,0.0308,0.183,0.282,0.415,0.266,https://api.spotify.com/v1/tracks/08YJEcxGtYXwCGqXMZDiyQ,https://api.spotify.com/v1/audio-analysis/08YJEcxGtYXwCGqXMZDiyQ,228293,4,0.957,1.18e-06,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2011-01-24
8,62,3uVsdnIglL7aTjm8X08J0M,4dpARuHxo51G3z768sgnrY,0Lg1uZvI312TPqxNWShFXL,He Won't Go,Adele,21,False,1,6,spotify:track:3uVsdnIglL7aTjm8X08J0M,159.908,audio_features,0,-7.045,0,0.086,0.0754,0.728,0.706,0.57,https://api.spotify.com/v1/tracks/3uVsdnIglL7aTjm8X08J0M,https://api.spotify.com/v1/audio-analysis/3uVsdnIglL7aTjm8X08J0M,278040,4,0.0225,0.0,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2011-01-24
9,62,7nm6DlSzzJTH1rk2e6EgJz,4dpARuHxo51G3z768sgnrY,0Lg1uZvI312TPqxNWShFXL,Lovesong,Adele,21,False,1,10,spotify:track:7nm6DlSzzJTH1rk2e6EgJz,116.885,audio_features,0,-9.407,0,0.0278,0.111,0.361,0.689,0.369,https://api.spotify.com/v1/tracks/7nm6DlSzzJTH1rk2e6EgJz,https://api.spotify.com/v1/audio-analysis/7nm6DlSzzJTH1rk2e6EgJz,316240,4,0.693,0.00236,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2011-01-24
