popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,explicit,disc_number,track_number,uri,tempo,type,key,loudness,mode,speechiness,liveness,valence,danceability,energy,track_href,analysis_url,duration_ms,time_signature,acousticness,instrumentalness,artist_genres,artist_popularity,album_genres,album_popularity,album_release_date
81,6GG73Jik4jUlQCkKg9JuGO,3Ayl7mCk0nScecqOzvNp6s,0UJhhj5bn5AGAjryFnhueP,The Middle,Jimmy Eat World,Bleed American,False,1,3,spotify:track:6GG73Jik4jUlQCkKg9JuGO,162.152,audio_features,2,-5.428,1,0.0526,0.058,0.903,0.643,0.849,https://api.spotify.com/v1/tracks/6GG73Jik4jUlQCkKg9JuGO,https://api.spotify.com/v1/audio-analysis/6GG73Jik4jUlQCkKg9JuGO,165853,4,0.0371,0.0,"['alternative rock', 'emo', 'modern power pop', 'modern rock', 'pop punk', 'pop rock', 'rock']",70,[],76,2001-07-17
70,429IbFR4yp2J81CeTwF5iY,3Ayl7mCk0nScecqOzvNp6s,0UJhhj5bn5AGAjryFnhueP,Sweetness,Jimmy Eat World,Bleed American,False,1,5,spotify:track:429IbFR4yp2J81CeTwF5iY,135.331,audio_features,5,-4.436,1,0.038,0.26,0.597,0.487,0.898,https://api.spotify.com/v1/tracks/429IbFR4yp2J81CeTwF5iY,https://api.spotify.com/v1/audio-analysis/429IbFR4yp2J81CeTwF5iY,220027,4,0.00305,0.0,"['alternative rock', 'emo', 'modern power pop', 'modern rock', 'pop punk', 'pop rock', 'rock']",70,[],76,2001-07-17
66,61XspFITuKmAlYdQacNCbF,3Ayl7mCk0nScecqOzvNp6s,0UJhhj5bn5AGAjryFnhueP,Bleed American,Jimmy Eat World,Bleed American,False,1,1,spotify:track:61XspFITuKmAlYdQacNCbF,160.212,audio_features,6,-5.611,0,0.094,0.806,0.584,0.438,0.938,https://api.spotify.com/v1/tracks/61XspFITuKmAlYdQacNCbF,https://api.spotify.com/v1/audio-analysis/61XspFITuKmAlYdQacNCbF,181493,4,0.00842,1.08e-06,"['alternative rock', 'emo', 'modern power pop', 'modern rock', 'pop punk', 'pop rock', 'rock']",70,[],76,2001-07-17
65,1TvNcWY7WwPLQINhimxycA,3Ayl7mCk0nScecqOzvNp6s,0UJhhj5bn5AGAjryFnhueP,Hear You Me,Jimmy Eat World,Bleed American,False,1,6,spotify:track:1TvNcWY7WwPLQINhimxycA,136.176,audio_features,4,-6.189,1,0.0284,0.209,0.137,0.465,0.517,https://api.spotify.com/v1/tracks/1TvNcWY7WwPLQINhimxycA,https://api.spotify.com/v1/audio-analysis/1TvNcWY7WwPLQINhimxycA,284373,3,0.00854,0.0403,"['alternative rock', 'emo', 'modern power pop', 'modern rock', 'pop punk', 'pop rock', 'rock']",70,[],76,2001-07-17
54,0n7d3no0cHnsnkgfFzDuj4,3Ayl7mCk0nScecqOzvNp6s,0UJhhj5bn5AGAjryFnhueP,A Praise Chorus,Jimmy Eat World,Bleed American,False,1,2,spotify:track:0n7d3no0cHnsnkgfFzDuj4,184.184,audio_features,9,-5.296,1,0.0678,0.222,0.484,0.461,0.936,https://api.spotify.com/v1/tracks/0n7d3no0cHnsnkgfFzDuj4,https://api.spotify.com/v1/audio-analysis/0n7d3no0cHnsnkgfFzDuj4,243507,4,0.0249,8.63e-06,"['alternative rock', 'emo', 'modern power pop', 'modern rock', 'pop punk', 'pop rock', 'rock']",70,[],76,2001-07-17
59,6VV8EboIsnmgv8Yy11g6Ww,3Ayl7mCk0nScecqOzvNp6s,2P6BqQ7RMpgx8lgoeahpW8,Last Christmas,Jimmy Eat World,Bleed American (Deluxe Edition),False,2,13,spotify:track:6VV8EboIsnmgv8Yy11g6Ww,126.013,audio_features,2,-4.657,1,0.0423,0.342,0.689,0.517,0.881,https://api.spotify.com/v1/tracks/6VV8EboIsnmgv8Yy11g6Ww,https://api.spotify.com/v1/audio-analysis/6VV8EboIsnmgv8Yy11g6Ww,267773,4,0.00144,0.0,"['alternative rock', 'emo', 'modern power pop', 'modern rock', 'pop punk', 'pop rock', 'rock']",70,[],53,2001-07-24
83,5W8YXBz9MTIDyrpYaCg2Ky,4RddZ3iHvSpGV4dvATac9X,0BHa0ePkvGAVKymB4FU58m,Last Resort,Papa Roach,Infest,True,1,2,spotify:track:5W8YXBz9MTIDyrpYaCg2Ky,90.598,audio_features,4,-3.719,0,0.0603,0.201,0.692,0.589,0.89,https://api.spotify.com/v1/tracks/5W8YXBz9MTIDyrpYaCg2Ky,https://api.spotify.com/v1/audio-analysis/5W8YXBz9MTIDyrpYaCg2Ky,199907,4,0.000481,0.00082,"['alternative metal', 'nu metal', 'rap metal', 'rap rock']",75,[],76,2001-04-25
68,24z528iI9kZu5LbkLainjI,4RddZ3iHvSpGV4dvATac9X,0BHa0ePkvGAVKymB4FU58m,Between Angels And Insects,Papa Roach,Infest,True,1,5,spotify:track:24z528iI9kZu5LbkLainjI,93.466,audio_features,2,-3.214,0,0.0642,0.195,0.344,0.519,0.961,https://api.spotify.com/v1/tracks/24z528iI9kZu5LbkLainjI,https://api.spotify.com/v1/audio-analysis/24z528iI9kZu5LbkLainjI,234467,4,0.000207,0.000419,"['alternative metal', 'nu metal', 'rap metal', 'rap rock']",75,[],76,2001-04-25
63,2Ll44WxlG2eiqL6NtEnf8M,4RddZ3iHvSpGV4dvATac9X,0BHa0ePkvGAVKymB4FU58m,Blood Brothers,Papa Roach,Infest,False,1,6,spotify:track:2Ll44WxlG2eiqL6NtEnf8M,169.16,audio_features,2,-3.322,0,0.0581,0.432,0.624,0.475,0.958,https://api.spotify.com/v1/tracks/2Ll44WxlG2eiqL6NtEnf8M,https://api.spotify.com/v1/audio-analysis/2Ll44WxlG2eiqL6NtEnf8M,213867,4,0.000277,2.2e-06,"['alternative metal', 'nu metal', 'rap metal', 'rap rock']",75,[],76,2001-04-25
51,0Kd96idEL2xXYoSbuvCLfa,4RddZ3iHvSpGV4dvATac9X,0BHa0ePkvGAVKymB4FU58m,Dead Cell,Papa Roach,Infest,True,1,4,spotify:track:0Kd96idEL2xXYoSbuvCLfa,102.614,audio_features,9,-4.4,1,0.162,0.113,0.427,0.53,0.981,https://api.spotify.com/v1/tracks/0Kd96idEL2xXYoSbuvCLfa,https://api.spotify.com/v1/audio-analysis/0Kd96idEL2xXYoSbuvCLfa,186360,4,0.000186,0.0325,"['alternative metal', 'nu metal', 'rap metal', 'rap rock']",75,[],76,2001-04-25
