popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,explicit,disc_number,track_number,uri,tempo,type,key,loudness,mode,speechiness,liveness,valence,danceability,energy,track_href,analysis_url,duration_ms,time_signature,acousticness,instrumentalness,artist_genres,artist_popularity,album_genres,album_popularity,album_release_date
83,4EWCNWgDS8707fNSZ1oaA5,5K4W6rqBFWDnAN6FQUkS6x,3WFTGIO6E3Xh4paEOBY9OU,Heartless,Kanye West,808s & Heartbreak,False,1,3,spotify:track:4EWCNWgDS8707fNSZ1oaA5,87.999,audio_features,10,-5.983,0,0.136,0.248,0.654,0.79,0.647,https://api.spotify.com/v1/tracks/4EWCNWgDS8707fNSZ1oaA5,https://api.spotify.com/v1/audio-analysis/4EWCNWgDS8707fNSZ1oaA5,211000,4,0.0515,0.0,"['chicago rap', 'rap']",95,[],79,2008-11-24
46,1vLPTWPfJSIrqOhNUWNfNY,1Mxqyy3pSjf8kZZL4QVxS0,3i67sGIVw8EBlgfSRv3Lj2,It Was A Very Good Year - 2008 Remastered,Frank Sinatra,Nothing But The Best (Remastered),False,1,14,spotify:track:1vLPTWPfJSIrqOhNUWNfNY,84.693,audio_features,10,-11.626,1,0.0309,0.0808,0.127,0.181,0.241,https://api.spotify.com/v1/tracks/1vLPTWPfJSIrqOhNUWNfNY,https://api.spotify.com/v1/audio-analysis/1vLPTWPfJSIrqOhNUWNfNY,266973,4,0.9,2.21e-06,"['adult standards', 'easy listening', 'lounge']",88,[],69,2008-01-01
79,2VsCE6ui7N4IRzGIGT7Di8,2lolQgalUvZDfp5vvVtTYV,5XwXBRHD4t7yKAHY5Smb8j,O Christmas Tree,Tony Bennett,A Swingin' Christmas Featuring The Count Basie Big Band,False,1,11,spotify:track:2VsCE6ui7N4IRzGIGT7Di8,74.271,audio_features,6,-14.34,1,0.0425,0.109,0.0857,0.571,0.0982,https://api.spotify.com/v1/tracks/2VsCE6ui7N4IRzGIGT7Di8,https://api.spotify.com/v1/audio-analysis/2VsCE6ui7N4IRzGIGT7Di8,207253,4,0.949,1.71e-06,"['adult standards', 'easy listening', 'vocal jazz']",78,[],76,2008-10-14
71,1yg7fwwYmx9DQ2TdXUmfpJ,1fa0cOhromAZdq2xRA4vv8,4pk3tltFMVlT06MLJfmWTT,Holding Back the Years - 2008 Remaster,Simply Red,Picture Book (Expanded Version),False,1,7,spotify:track:1yg7fwwYmx9DQ2TdXUmfpJ,86.035,audio_features,9,-8.885,0,0.0281,0.0953,0.524,0.707,0.514,https://api.spotify.com/v1/tracks/1yg7fwwYmx9DQ2TdXUmfpJ,https://api.spotify.com/v1/audio-analysis/1yg7fwwYmx9DQ2TdXUmfpJ,269840,4,0.58,0.000159,"['british soul', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop']",70,[],65,1985
43,0S9ldLnfkEenj9oSzrfepT,1fa0cOhromAZdq2xRA4vv8,4pk3tltFMVlT06MLJfmWTT,Holding Back the Years - Extended Single Mix; 2008 Remaster,Simply Red,Picture Book (Expanded Version),False,1,13,spotify:track:0S9ldLnfkEenj9oSzrfepT,86.214,audio_features,9,-11.634,0,0.0266,0.232,0.61,0.703,0.45,https://api.spotify.com/v1/tracks/0S9ldLnfkEenj9oSzrfepT,https://api.spotify.com/v1/audio-analysis/0S9ldLnfkEenj9oSzrfepT,340267,4,0.716,0.00221,"['british soul', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop']",70,[],65,1985
78,0LQtEJt7x0s6knb6RKdRYc,6yJCxee7QumYr820xdIsjo,08XFx1OZMZnRCh0JrKTIgT,Chicken Fried,Zac Brown Band,The Foundation,False,1,6,spotify:track:0LQtEJt7x0s6knb6RKdRYc,169.861,audio_features,6,-4.25,1,0.0418,0.114,0.805,0.566,0.713,https://api.spotify.com/v1/tracks/0LQtEJt7x0s6knb6RKdRYc,https://api.spotify.com/v1/audio-analysis/0LQtEJt7x0s6knb6RKdRYc,238147,4,0.645,0.0,"['contemporary country', 'country', 'country road', 'modern country rock']",74,[],75,2008-11-17
73,4S518ci8UY4op0Xyp6Hx6o,6yJCxee7QumYr820xdIsjo,08XFx1OZMZnRCh0JrKTIgT,Toes,Zac Brown Band,The Foundation,False,1,1,spotify:track:4S518ci8UY4op0Xyp6Hx6o,129.971,audio_features,11,-5.398,1,0.0378,0.0897,0.821,0.801,0.759,https://api.spotify.com/v1/tracks/4S518ci8UY4op0Xyp6Hx6o,https://api.spotify.com/v1/audio-analysis/4S518ci8UY4op0Xyp6Hx6o,262773,4,0.657,0.0,"['contemporary country', 'country', 'country road', 'modern country rock']",74,[],75,2008-11-17
1,47VMHA5OTq5Ze9VAKOe84v,6QZvDZ1FsDl6GMcj0x2P3E,7Dy3Ekx0TDhNHzHAJFsVOI,Year 2008,Suffused,Year 2008 Part 1,False,1,1,spotify:track:47VMHA5OTq5Ze9VAKOe84v,127.007,audio_features,0,-10.896,1,0.034,0.1,0.0455,0.576,0.733,https://api.spotify.com/v1/tracks/47VMHA5OTq5Ze9VAKOe84v,https://api.spotify.com/v1/audio-analysis/47VMHA5OTq5Ze9VAKOe84v,490131,4,8.79e-05,0.868,[],3,[],1,2011-12-01
0,4bXNbTIbTOz9a59Z4DGekW,6QZvDZ1FsDl6GMcj0x2P3E,6IzWu6busvXC6aenZbjMqm,Year 2008 - Ultimate Progress Late Night Mix,Suffused,Hidden People - Vol. 025,False,1,32,spotify:track:4bXNbTIbTOz9a59Z4DGekW,123.987,audio_features,11,-8.94,0,0.0363,0.0997,0.107,0.632,0.768,https://api.spotify.com/v1/tracks/4bXNbTIbTOz9a59Z4DGekW,https://api.spotify.com/v1/audio-analysis/4bXNbTIbTOz9a59Z4DGekW,565166,4,0.0218,0.829,[],3,[],0,2021-12-15
0,2TvEXSKOBzp8j7aKzNp13x,6QZvDZ1FsDl6GMcj0x2P3E,1jFQHhYwfB2ZHiyGrAglEQ,Year 2008,Suffused,Rubi Tunes Vol. 019,False,1,86,spotify:track:2TvEXSKOBzp8j7aKzNp13x,127.007,audio_features,0,-10.896,1,0.034,0.1,0.0455,0.576,0.733,https://api.spotify.com/v1/tracks/2TvEXSKOBzp8j7aKzNp13x,https://api.spotify.com/v1/audio-analysis/2TvEXSKOBzp8j7aKzNp13x,490131,4,8.79e-05,0.868,[],3,[],0,2021-04-20
