popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,explicit,disc_number,track_number,uri,tempo,type,key,loudness,mode,speechiness,liveness,valence,danceability,energy,track_href,analysis_url,duration_ms,time_signature,acousticness,instrumentalness,artist_genres,artist_popularity,album_genres,album_popularity,album_release_date
89,27RYrbL6S02LNVhDWVl38b,4x1nvY2FN8jxqAFA0DA02H,555NIhJIQ4XoS5N7VglF0v,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,Signature Box,False,10,2,spotify:track:27RYrbL6S02LNVhDWVl38b,146.172,audio_features,2,-10.023,1,0.0324,0.718,0.414,0.321,0.64,https://api.spotify.com/v1/tracks/27RYrbL6S02LNVhDWVl38b,https://api.spotify.com/v1/audio-analysis/27RYrbL6S02LNVhDWVl38b,214333,3,0.28,0.0,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'mellow gold', 'rock']",78,[],81,2010-10-05
45,0sFq478LIo9BFwf2qzMzzF,7wCjDgV6nqBsHguQXPAaIM,6GDs0ZZVR2jDV8n4m11KWO,The Year 2003 Minus 25 - Remastered,Waylon Jennings,Waylon & Willie,False,1,2,spotify:track:0sFq478LIo9BFwf2qzMzzF,102.166,audio_features,4,-13.785,1,0.0384,0.0668,0.474,0.626,0.457,https://api.spotify.com/v1/tracks/0sFq478LIo9BFwf2qzMzzF,https://api.spotify.com/v1/audio-analysis/0sFq478LIo9BFwf2qzMzzF,184267,4,0.355,9.2e-06,"['country', 'country rock', 'outlaw country', 'texas country']",70,[],60,1978-01-01
71,1kMuU3TNQvHbqvXCWBodmP,55Aa2cqylxrFIXC767Z865,5vfnsOgLqsgmEb3vGyc2FO,Right Above It,Lil Wayne,I Am Not A Human Being,True,1,7,spotify:track:1kMuU3TNQvHbqvXCWBodmP,76.052,audio_features,3,-4.348,0,0.356,0.578,0.463,0.376,0.841,https://api.spotify.com/v1/tracks/1kMuU3TNQvHbqvXCWBodmP,https://api.spotify.com/v1/audio-analysis/1kMuU3TNQvHbqvXCWBodmP,271947,4,0.0435,0.0,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",89,[],65,2010-01-01
44,5J1iMCE9SnuOqwRwOpVxhp,7kwEvDE8e7EBGKh5bLczqQ,4iyn5H88RVqMJcbuCygfkw,Best of 2010: Baby / Break Even / Need You Now / Dynamite / Tik Tok / Airplanes,Anthem Lights,Best of the Year Medleys: 2007 - 2012,False,1,4,spotify:track:5J1iMCE9SnuOqwRwOpVxhp,119.903,audio_features,5,-6.261,1,0.0328,0.217,0.47,0.417,0.443,https://api.spotify.com/v1/tracks/5J1iMCE9SnuOqwRwOpVxhp,https://api.spotify.com/v1/audio-analysis/5J1iMCE9SnuOqwRwOpVxhp,155342,4,0.709,0.0,"['ccm', 'christian alternative rock', 'christian music', 'viral pop', 'worship']",63,[],54,2015-10-16
33,5rJw9VsPNdfnV9Ar97xZG2,7kwEvDE8e7EBGKh5bLczqQ,00DpCtHn284WiPNunv1QG8,K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),Anthem Lights,K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),False,1,1,spotify:track:5rJw9VsPNdfnV9Ar97xZG2,107.012,audio_features,4,-4.247,1,0.0316,0.125,0.358,0.39,0.455,https://api.spotify.com/v1/tracks/5rJw9VsPNdfnV9Ar97xZG2,https://api.spotify.com/v1/audio-analysis/5rJw9VsPNdfnV9Ar97xZG2,182288,4,0.397,0.0,"['ccm', 'christian alternative rock', 'christian music', 'viral pop', 'worship']",63,[],24,2015-03-31
27,00ohIpPn9LkKpeIqhfIU9V,7kwEvDE8e7EBGKh5bLczqQ,0r796NliuFZILSuOssNPXj,K-Love Fan Awards: Songs of the Year (2014 Mash-Up),Anthem Lights,K-Love Fan Awards: Songs of the Year (2014 Mash-Up),False,1,1,spotify:track:00ohIpPn9LkKpeIqhfIU9V,119.515,audio_features,11,-8.204,1,0.0334,0.376,0.229,0.42,0.281,https://api.spotify.com/v1/tracks/00ohIpPn9LkKpeIqhfIU9V,https://api.spotify.com/v1/audio-analysis/00ohIpPn9LkKpeIqhfIU9V,213165,4,0.829,0.0,"['ccm', 'christian alternative rock', 'christian music', 'viral pop', 'worship']",63,[],19,2014-03-04
81,10eBRyImhfqVvkiVEGf0N0,06HL4z0CvFAxyc27GXpf02,5MfAxS5zz8MlfROjGQVXhy,Enchanted,Taylor Swift,Speak Now,False,1,9,spotify:track:10eBRyImhfqVvkiVEGf0N0,163.893,audio_features,8,-3.878,1,0.0288,0.146,0.208,0.455,0.623,https://api.spotify.com/v1/tracks/10eBRyImhfqVvkiVEGf0N0,https://api.spotify.com/v1/audio-analysis/10eBRyImhfqVvkiVEGf0N0,352187,4,0.0739,0.000424,['pop'],100,[],78,2010-10-25
70,3DrjZArsPsoqbLzUZZV1Id,06HL4z0CvFAxyc27GXpf02,5MfAxS5zz8MlfROjGQVXhy,Back To December,Taylor Swift,Speak Now,False,1,3,spotify:track:3DrjZArsPsoqbLzUZZV1Id,141.893,audio_features,2,-4.663,1,0.0303,0.334,0.286,0.529,0.67,https://api.spotify.com/v1/tracks/3DrjZArsPsoqbLzUZZV1Id,https://api.spotify.com/v1/audio-analysis/3DrjZArsPsoqbLzUZZV1Id,293027,4,0.117,0.0,['pop'],100,[],78,2010-10-25
69,0dBW6ZsW8skfvoRfgeerBF,06HL4z0CvFAxyc27GXpf02,5MfAxS5zz8MlfROjGQVXhy,Mine,Taylor Swift,Speak Now,False,1,1,spotify:track:0dBW6ZsW8skfvoRfgeerBF,121.07,audio_features,7,-2.94,1,0.0296,0.189,0.658,0.624,0.757,https://api.spotify.com/v1/tracks/0dBW6ZsW8skfvoRfgeerBF,https://api.spotify.com/v1/audio-analysis/0dBW6ZsW8skfvoRfgeerBF,230707,4,0.00265,1.87e-06,['pop'],100,[],78,2010-10-25
68,5yEPktRqvIhko5QFF3aBhQ,06HL4z0CvFAxyc27GXpf02,5MfAxS5zz8MlfROjGQVXhy,Mean,Taylor Swift,Speak Now,False,1,6,spotify:track:5yEPktRqvIhko5QFF3aBhQ,163.974,audio_features,4,-3.987,1,0.0459,0.217,0.789,0.568,0.761,https://api.spotify.com/v1/tracks/5yEPktRqvIhko5QFF3aBhQ,https://api.spotify.com/v1/audio-analysis/5yEPktRqvIhko5QFF3aBhQ,237733,4,0.452,0.0,['pop'],100,[],78,2010-10-25
