,popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,explicit,disc_number,track_number,uri,tempo,type,key,loudness,mode,speechiness,liveness,valence,danceability,energy,track_href,analysis_url,duration_ms,time_signature,acousticness,instrumentalness,artist_genres,artist_popularity,album_genres,album_popularity,album_release_date
0,78,7ygpwy2qP3NbrxVkHvUhXY,2DaxqgrOhkeH0fpeiQq2f4,6tOe4eAF8xNhEkl9WyvsE4,Wonderwall - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition),False,1,3,spotify:track:7ygpwy2qP3NbrxVkHvUhXY,174.323,audio_features,2,-4.097,1,0.0406,0.187,0.434,0.375,0.893,https://api.spotify.com/v1/tracks/7ygpwy2qP3NbrxVkHvUhXY,https://api.spotify.com/v1/audio-analysis/7ygpwy2qP3NbrxVkHvUhXY,258773,4,0.000509,0.0,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",78,[],75,1995
1,72,12dU3vAh6AFoJkisorfoUl,2DaxqgrOhkeH0fpeiQq2f4,6tOe4eAF8xNhEkl9WyvsE4,Don't Look Back In Anger - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition),False,1,4,spotify:track:12dU3vAh6AFoJkisorfoUl,162.97,audio_features,0,-3.254,1,0.0628,0.165,0.31,0.328,0.936,https://api.spotify.com/v1/tracks/12dU3vAh6AFoJkisorfoUl,https://api.spotify.com/v1/audio-analysis/12dU3vAh6AFoJkisorfoUl,289560,4,0.0665,2.61e-06,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",78,[],75,1995
2,67,2A7GGXmTlXuH9LOvBXgOX4,2DaxqgrOhkeH0fpeiQq2f4,6tOe4eAF8xNhEkl9WyvsE4,Champagne Supernova - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition),False,1,12,spotify:track:2A7GGXmTlXuH9LOvBXgOX4,150.249,audio_features,2,-3.786,1,0.039,0.355,0.138,0.293,0.817,https://api.spotify.com/v1/tracks/2A7GGXmTlXuH9LOvBXgOX4,https://api.spotify.com/v1/audio-analysis/2A7GGXmTlXuH9LOvBXgOX4,451320,4,0.458,0.0509,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",78,[],75,1995
3,59,60QLLec3yKDwloXCyummPy,2DaxqgrOhkeH0fpeiQq2f4,6tOe4eAF8xNhEkl9WyvsE4,She's Electric - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition),False,1,9,spotify:track:60QLLec3yKDwloXCyummPy,125.414,audio_features,9,-3.506,1,0.0481,0.24,0.486,0.484,0.905,https://api.spotify.com/v1/tracks/60QLLec3yKDwloXCyummPy,https://api.spotify.com/v1/audio-analysis/60QLLec3yKDwloXCyummPy,220920,4,0.146,1.13e-06,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",78,[],75,1995
4,55,1xxPQaR29dAf3yxaafByeD,2DaxqgrOhkeH0fpeiQq2f4,6tOe4eAF8xNhEkl9WyvsE4,Some Might Say - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition),False,1,7,spotify:track:1xxPQaR29dAf3yxaafByeD,110.156,audio_features,0,-2.277,0,0.092,0.287,0.0734,0.259,0.927,https://api.spotify.com/v1/tracks/1xxPQaR29dAf3yxaafByeD,https://api.spotify.com/v1/audio-analysis/1xxPQaR29dAf3yxaafByeD,327920,4,0.165,0.013,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",78,[],75,1995
5,55,1H0K1GVwLteCZrPquy7qkM,2DaxqgrOhkeH0fpeiQq2f4,6tOe4eAF8xNhEkl9WyvsE4,Morning Glory - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition),False,1,10,spotify:track:1H0K1GVwLteCZrPquy7qkM,136.986,audio_features,0,-3.045,1,0.0926,0.519,0.104,0.33,0.982,https://api.spotify.com/v1/tracks/1H0K1GVwLteCZrPquy7qkM,https://api.spotify.com/v1/audio-analysis/1H0K1GVwLteCZrPquy7qkM,303320,4,0.0588,4.74e-05,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",78,[],75,1995
6,55,2LNV0347QKt4AHxRSfCBij,2DaxqgrOhkeH0fpeiQq2f4,6tOe4eAF8xNhEkl9WyvsE4,Talk Tonight - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition),False,2,1,spotify:track:2LNV0347QKt4AHxRSfCBij,85.213,audio_features,4,-8.499,0,0.0242,0.361,0.299,0.376,0.423,https://api.spotify.com/v1/tracks/2LNV0347QKt4AHxRSfCBij,https://api.spotify.com/v1/audio-analysis/2LNV0347QKt4AHxRSfCBij,263747,4,0.54,1.23e-05,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",78,[],75,1995
7,54,3czgcbI4YZ4Gg29DOYFAnd,2DaxqgrOhkeH0fpeiQq2f4,6tOe4eAF8xNhEkl9WyvsE4,Roll With It - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition),False,1,2,spotify:track:3czgcbI4YZ4Gg29DOYFAnd,126.612,audio_features,9,-1.909,0,0.0957,0.11,0.139,0.223,0.985,https://api.spotify.com/v1/tracks/3czgcbI4YZ4Gg29DOYFAnd,https://api.spotify.com/v1/audio-analysis/3czgcbI4YZ4Gg29DOYFAnd,240093,4,0.0298,0.000424,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",78,[],75,1995
8,55,2VVRmrgSmyYnEZsBTsnIRz,2DaxqgrOhkeH0fpeiQq2f4,6tOe4eAF8xNhEkl9WyvsE4,Acquiesce - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition),False,2,2,spotify:track:2VVRmrgSmyYnEZsBTsnIRz,112.447,audio_features,7,-3.366,1,0.0831,0.334,0.184,0.178,0.931,https://api.spotify.com/v1/tracks/2VVRmrgSmyYnEZsBTsnIRz,https://api.spotify.com/v1/audio-analysis/2VVRmrgSmyYnEZsBTsnIRz,267987,4,0.0128,0.000714,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",78,[],75,1995
9,70,1qPbGZqppFwLwcBC1JQ6Vr,2DaxqgrOhkeH0fpeiQq2f4,2u30gztZTylY4RG7IvfXs8,Wonderwall,Oasis,(What's The Story) Morning Glory?,False,1,3,spotify:track:1qPbGZqppFwLwcBC1JQ6Vr,174.584,audio_features,2,-5.609,1,0.0366,0.133,0.456,0.41,0.854,https://api.spotify.com/v1/tracks/1qPbGZqppFwLwcBC1JQ6Vr,https://api.spotify.com/v1/audio-analysis/1qPbGZqppFwLwcBC1JQ6Vr,258907,4,0.00236,0.0,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",78,[],68,1995-10-02
10,66,7ppPZa3TRUSGKaks9wH7VT,2DaxqgrOhkeH0fpeiQq2f4,2u30gztZTylY4RG7IvfXs8,Don't Look Back In Anger,Oasis,(What's The Story) Morning Glory?,False,1,4,spotify:track:7ppPZa3TRUSGKaks9wH7VT,164.036,audio_features,0,-3.645,1,0.071,0.0968,0.206,0.349,0.917,https://api.spotify.com/v1/tracks/7ppPZa3TRUSGKaks9wH7VT,https://api.spotify.com/v1/audio-analysis/7ppPZa3TRUSGKaks9wH7VT,287827,4,0.026,7.25e-06,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",78,[],68,1995-10-02
11,61,6EMynpZ10GVcwVqiLZj6Ye,2DaxqgrOhkeH0fpeiQq2f4,2u30gztZTylY4RG7IvfXs8,Champagne Supernova,Oasis,(What's The Story) Morning Glory?,False,1,12,spotify:track:6EMynpZ10GVcwVqiLZj6Ye,150.381,audio_features,2,-2.26,1,0.0366,0.361,0.119,0.303,0.853,https://api.spotify.com/v1/tracks/6EMynpZ10GVcwVqiLZj6Ye,https://api.spotify.com/v1/audio-analysis/6EMynpZ10GVcwVqiLZj6Ye,450507,4,0.223,0.00159,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",78,[],68,1995-10-02
12,57,4yCihiznWkDsbuIqf6mSiG,2DaxqgrOhkeH0fpeiQq2f4,2u30gztZTylY4RG7IvfXs8,She's Electric,Oasis,(What's The Story) Morning Glory?,False,1,9,spotify:track:4yCihiznWkDsbuIqf6mSiG,125.364,audio_features,9,-3.499,1,0.0483,0.315,0.501,0.484,0.91,https://api.spotify.com/v1/tracks/4yCihiznWkDsbuIqf6mSiG,https://api.spotify.com/v1/audio-analysis/4yCihiznWkDsbuIqf6mSiG,220920,4,0.163,1.13e-06,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",78,[],68,1995-10-02
13,76,5QLHGv0DfpeXLNFo7SFEy1,40Yq4vzPs9VNUrIBG5Jr2i,55RhFRyQFihIyGf61MgcfV,1979 - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),False,2,5,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,126.879,audio_features,3,-9.897,1,0.0331,0.0513,0.964,0.767,0.787,https://api.spotify.com/v1/tracks/5QLHGv0DfpeXLNFo7SFEy1,https://api.spotify.com/v1/audio-analysis/5QLHGv0DfpeXLNFo7SFEy1,266200,4,0.0163,0.583,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'pop rock', 'rock']",73,[],75,1995
14,73,6GtX0jaNL8IjVQfrDBx81z,40Yq4vzPs9VNUrIBG5Jr2i,55RhFRyQFihIyGf61MgcfV,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),False,1,6,spotify:track:6GtX0jaNL8IjVQfrDBx81z,121.864,audio_features,10,-9.18,0,0.0623,0.0466,0.475,0.404,0.72,https://api.spotify.com/v1/tracks/6GtX0jaNL8IjVQfrDBx81z,https://api.spotify.com/v1/audio-analysis/6GtX0jaNL8IjVQfrDBx81z,258467,4,5.59e-05,0.836,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'pop rock', 'rock']",73,[],75,1995
15,69,7bu0znpSbTks0O6I98ij0W,40Yq4vzPs9VNUrIBG5Jr2i,55RhFRyQFihIyGf61MgcfV,Tonight Tonight - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),False,1,2,spotify:track:7bu0znpSbTks0O6I98ij0W,148.342,audio_features,6,-9.381,1,0.0376,0.237,0.217,0.277,0.67,https://api.spotify.com/v1/tracks/7bu0znpSbTks0O6I98ij0W,https://api.spotify.com/v1/audio-analysis/7bu0znpSbTks0O6I98ij0W,254627,4,6.28e-05,0.751,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'pop rock', 'rock']",73,[],75,1995
16,66,4YFcGTdgmEuw8xTO4XrxbB,40Yq4vzPs9VNUrIBG5Jr2i,55RhFRyQFihIyGf61MgcfV,Zero - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),True,1,4,spotify:track:4YFcGTdgmEuw8xTO4XrxbB,128.04,audio_features,8,-7.105,1,0.0458,0.0509,0.701,0.438,0.728,https://api.spotify.com/v1/tracks/4YFcGTdgmEuw8xTO4XrxbB,https://api.spotify.com/v1/audio-analysis/4YFcGTdgmEuw8xTO4XrxbB,160173,4,3.49e-05,0.57,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'pop rock', 'rock']",73,[],75,1995
17,55,1fPKWu8NKS1ZGHjFZ5QCAs,40Yq4vzPs9VNUrIBG5Jr2i,55RhFRyQFihIyGf61MgcfV,Thirty-Three - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),False,2,3,spotify:track:1fPKWu8NKS1ZGHjFZ5QCAs,126.619,audio_features,6,-12.717,1,0.0324,0.151,0.0802,0.607,0.333,https://api.spotify.com/v1/tracks/1fPKWu8NKS1ZGHjFZ5QCAs,https://api.spotify.com/v1/audio-analysis/1fPKWu8NKS1ZGHjFZ5QCAs,250293,4,0.000968,0.4,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'pop rock', 'rock']",73,[],75,1995
