,popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,explicit,disc_number,track_number,uri,tempo,type,key,loudness,mode,speechiness,liveness,valence,danceability,energy,track_href,analysis_url,duration_ms,time_signature,acousticness,instrumentalness,artist_genres,artist_popularity,album_genres,album_popularity,album_release_date
0,86,62vpWI1CHwFy7tMIcSStl8,6l3HvQ5sa6mXTsMTB19rO5,7viNUmZZ8ztn2UB4XB3jIL,No Role Modelz,J. Cole,2014 Forest Hills Drive,True,1,9,spotify:track:62vpWI1CHwFy7tMIcSStl8,100.45,audio_features,10,-8.465,0,0.33,0.0565,0.463,0.692,0.521,https://api.spotify.com/v1/tracks/62vpWI1CHwFy7tMIcSStl8,https://api.spotify.com/v1/audio-analysis/62vpWI1CHwFy7tMIcSStl8,292987,4,0.301,0.0,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",88,[],83,2014-12-09
1,80,6Ius4TC0L3cN74HT7ENE6e,6l3HvQ5sa6mXTsMTB19rO5,7viNUmZZ8ztn2UB4XB3jIL,Wet Dreamz,J. Cole,2014 Forest Hills Drive,True,1,3,spotify:track:6Ius4TC0L3cN74HT7ENE6e,175.906,audio_features,6,-8.205,0,0.364,0.128,0.584,0.517,0.705,https://api.spotify.com/v1/tracks/6Ius4TC0L3cN74HT7ENE6e,https://api.spotify.com/v1/audio-analysis/6Ius4TC0L3cN74HT7ENE6e,239320,4,0.0751,0.0,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",88,[],83,2014-12-09
2,73,16qYlQ6koFxYVbiJbGHblz,6l3HvQ5sa6mXTsMTB19rO5,7viNUmZZ8ztn2UB4XB3jIL,G.O.M.D.,J. Cole,2014 Forest Hills Drive,True,1,8,spotify:track:16qYlQ6koFxYVbiJbGHblz,128.084,audio_features,4,-10.821,0,0.267,0.283,0.304,0.89,0.393,https://api.spotify.com/v1/tracks/16qYlQ6koFxYVbiJbGHblz,https://api.spotify.com/v1/audio-analysis/16qYlQ6koFxYVbiJbGHblz,301133,4,0.331,8.81e-06,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",88,[],83,2014-12-09
3,72,4gkl7QbQvBd3TM9PhlWFkI,6l3HvQ5sa6mXTsMTB19rO5,7viNUmZZ8ztn2UB4XB3jIL,Love Yourz,J. Cole,2014 Forest Hills Drive,True,1,12,spotify:track:4gkl7QbQvBd3TM9PhlWFkI,75.578,audio_features,8,-8.812,1,0.44,0.119,0.399,0.502,0.623,https://api.spotify.com/v1/tracks/4gkl7QbQvBd3TM9PhlWFkI,https://api.spotify.com/v1/audio-analysis/4gkl7QbQvBd3TM9PhlWFkI,211680,1,0.609,0.0,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",88,[],83,2014-12-09
4,69,1HNs07uZxZniPNmniw2GTa,6l3HvQ5sa6mXTsMTB19rO5,7viNUmZZ8ztn2UB4XB3jIL,Apparently,J. Cole,2014 Forest Hills Drive,True,1,11,spotify:track:1HNs07uZxZniPNmniw2GTa,133.98,audio_features,5,-9.236,1,0.0911,0.116,0.534,0.8,0.543,https://api.spotify.com/v1/tracks/1HNs07uZxZniPNmniw2GTa,https://api.spotify.com/v1/audio-analysis/1HNs07uZxZniPNmniw2GTa,293040,4,0.564,0.0,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",88,[],83,2014-12-09
5,69,7lL3MvFWFFSD25pBz72Agj,6l3HvQ5sa6mXTsMTB19rO5,7viNUmZZ8ztn2UB4XB3jIL,A Tale of 2 Citiez,J. Cole,2014 Forest Hills Drive,True,1,5,spotify:track:7lL3MvFWFFSD25pBz72Agj,189.861,audio_features,6,-7.844,1,0.531,0.251,0.362,0.559,0.556,https://api.spotify.com/v1/tracks/7lL3MvFWFFSD25pBz72Agj,https://api.spotify.com/v1/audio-analysis/7lL3MvFWFFSD25pBz72Agj,269787,4,0.553,0.0,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",88,[],83,2014-12-09
6,66,4Tjh34RS4ACZ6f6srlDBg8,6l3HvQ5sa6mXTsMTB19rO5,7viNUmZZ8ztn2UB4XB3jIL,Fire Squad,J. Cole,2014 Forest Hills Drive,True,1,6,spotify:track:4Tjh34RS4ACZ6f6srlDBg8,175.427,audio_features,11,-7.209,1,0.414,0.621,0.599,0.516,0.738,https://api.spotify.com/v1/tracks/4Tjh34RS4ACZ6f6srlDBg8,https://api.spotify.com/v1/audio-analysis/4Tjh34RS4ACZ6f6srlDBg8,288200,4,0.28,0.0,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",88,[],83,2014-12-09
7,64,4txn9qnwK3ILQqv5oq2mO3,6l3HvQ5sa6mXTsMTB19rO5,7viNUmZZ8ztn2UB4XB3jIL,03' Adolescence,J. Cole,2014 Forest Hills Drive,True,1,4,spotify:track:4txn9qnwK3ILQqv5oq2mO3,146.02,audio_features,1,-6.362,1,0.556,0.275,0.262,0.519,0.809,https://api.spotify.com/v1/tracks/4txn9qnwK3ILQqv5oq2mO3,https://api.spotify.com/v1/audio-analysis/4txn9qnwK3ILQqv5oq2mO3,264213,4,0.388,0.0,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",88,[],83,2014-12-09
8,64,6NyhBA9M6KK0fuVsojxL00,6l3HvQ5sa6mXTsMTB19rO5,7viNUmZZ8ztn2UB4XB3jIL,January 28th,J. Cole,2014 Forest Hills Drive,True,1,2,spotify:track:6NyhBA9M6KK0fuVsojxL00,79.237,audio_features,5,-8.59,1,0.354,0.0951,0.373,0.478,0.546,https://api.spotify.com/v1/tracks/6NyhBA9M6KK0fuVsojxL00,https://api.spotify.com/v1/audio-analysis/6NyhBA9M6KK0fuVsojxL00,242813,4,0.26,0.0,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",88,[],83,2014-12-09
9,60,4qRjfovbhI4EwP7VQNfxVW,6l3HvQ5sa6mXTsMTB19rO5,7viNUmZZ8ztn2UB4XB3jIL,St. Tropez,J. Cole,2014 Forest Hills Drive,True,1,7,spotify:track:4qRjfovbhI4EwP7VQNfxVW,84.405,audio_features,9,-9.818,0,0.0674,0.0627,0.326,0.649,0.541,https://api.spotify.com/v1/tracks/4qRjfovbhI4EwP7VQNfxVW,https://api.spotify.com/v1/audio-analysis/4qRjfovbhI4EwP7VQNfxVW,257920,4,0.054,0.0365,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",88,[],83,2014-12-09
