popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,explicit,disc_number,track_number,uri,tempo,type,key,loudness,mode,speechiness,liveness,valence,danceability,energy,track_href,analysis_url,duration_ms,time_signature,acousticness,instrumentalness,artist_genres,artist_popularity,album_genres,album_popularity,album_release_date
80,1GQ3cCJMAhLqWARyVZWxnO,6ZjFtWeHP9XN7FeKSUe80S,59FWajrRYfw3QEoR3VSNc7,Mele Kalikimaka - Single Version,Bing Crosby,Their Complete Recordings Together,False,2,11,spotify:track:1GQ3cCJMAhLqWARyVZWxnO,207.975,audio_features,3,-13.668,1,0.0717,0.322,0.589,0.513,0.156,https://api.spotify.com/v1/tracks/1GQ3cCJMAhLqWARyVZWxnO,https://api.spotify.com/v1/audio-analysis/1GQ3cCJMAhLqWARyVZWxnO,172173,4,0.808,0.0,"['adult standards', 'easy listening']",83,[],73,1996-11-19
65,6KqUDlXQW9clwqqO3vdCyO,6ZjFtWeHP9XN7FeKSUe80S,59FWajrRYfw3QEoR3VSNc7,Santa Claus Is Comin' To Town - Single Version,Bing Crosby,Their Complete Recordings Together,False,1,6,spotify:track:6KqUDlXQW9clwqqO3vdCyO,169.79,audio_features,10,-14.171,1,0.0572,0.0808,0.91,0.575,0.286,https://api.spotify.com/v1/tracks/6KqUDlXQW9clwqqO3vdCyO,https://api.spotify.com/v1/audio-analysis/6KqUDlXQW9clwqqO3vdCyO,159733,4,0.803,0.0,"['adult standards', 'easy listening']",83,[],73,1996-11-19
56,2Hwybss9MuCoo0Cx5GACBl,6ZjFtWeHP9XN7FeKSUe80S,59FWajrRYfw3QEoR3VSNc7,Jingle Bells - Single Version,Bing Crosby,Their Complete Recordings Together,False,1,5,spotify:track:2Hwybss9MuCoo0Cx5GACBl,122.572,audio_features,3,-13.914,1,0.0723,0.0658,0.863,0.766,0.32,https://api.spotify.com/v1/tracks/2Hwybss9MuCoo0Cx5GACBl,https://api.spotify.com/v1/audio-analysis/2Hwybss9MuCoo0Cx5GACBl,153333,3,0.839,0.0,"['adult standards', 'easy listening']",83,[],73,1996-11-19
56,6xF6R6029v5XsSL0yFFW2X,6ZjFtWeHP9XN7FeKSUe80S,59FWajrRYfw3QEoR3VSNc7,Poppa Santa Claus,Bing Crosby,Their Complete Recordings Together,False,2,10,spotify:track:6xF6R6029v5XsSL0yFFW2X,109.115,audio_features,6,-11.821,1,0.13,0.651,0.825,0.825,0.26,https://api.spotify.com/v1/tracks/6xF6R6029v5XsSL0yFFW2X,https://api.spotify.com/v1/audio-analysis/6xF6R6029v5XsSL0yFFW2X,193240,4,0.774,0.0,"['adult standards', 'easy listening']",83,[],73,1996-11-19
50,0qPvx5UZGBTHTnBeqEMsa9,6ZjFtWeHP9XN7FeKSUe80S,59FWajrRYfw3QEoR3VSNc7,Ac-Cent-Tchu-Ate The Positive - Single Version,Bing Crosby,Their Complete Recordings Together,False,1,12,spotify:track:0qPvx5UZGBTHTnBeqEMsa9,137.872,audio_features,1,-14.805,1,0.115,0.305,0.908,0.62,0.293,https://api.spotify.com/v1/tracks/0qPvx5UZGBTHTnBeqEMsa9,https://api.spotify.com/v1/audio-analysis/0qPvx5UZGBTHTnBeqEMsa9,160360,4,0.935,0.0,"['adult standards', 'easy listening']",83,[],73,1996-11-19
49,6p5YbQMV79e72q1NKqQsde,6ZjFtWeHP9XN7FeKSUe80S,59FWajrRYfw3QEoR3VSNc7,Pistol Packin' Mama - Single Version,Bing Crosby,Their Complete Recordings Together,False,1,3,spotify:track:6p5YbQMV79e72q1NKqQsde,201.552,audio_features,2,-14.869,1,0.424,0.118,0.846,0.623,0.299,https://api.spotify.com/v1/tracks/6p5YbQMV79e72q1NKqQsde,https://api.spotify.com/v1/audio-analysis/6p5YbQMV79e72q1NKqQsde,179693,4,0.799,0.0,"['adult standards', 'easy listening']",83,[],73,1996-11-19
59,5TKuf1mxDlHdXcvdIDViUR,6kXp61QMZFPcKMcRPqoiVj,1Hb3wpvKy2PytjaBAZNAut,Til I Hear It From You,Gin Blossoms,Til I Hear It From You,False,1,1,spotify:track:5TKuf1mxDlHdXcvdIDViUR,124.417,audio_features,9,-7.997,1,0.0294,0.291,0.722,0.578,0.764,https://api.spotify.com/v1/tracks/5TKuf1mxDlHdXcvdIDViUR,https://api.spotify.com/v1/audio-analysis/5TKuf1mxDlHdXcvdIDViUR,232467,4,0.08,0.0,"['alternative rock', 'neo mellow', 'permanent wave', 'pop rock', 'post-grunge', 'rock', 'tempe indie']",59,[],50,1996-01-01
60,5f2wSctNJlAOUAaRxQAcoM,6kXp61QMZFPcKMcRPqoiVj,2SVPWikKGKTeQqg87ccyKm,Follow You Down - Edit,Gin Blossoms,Follow You Down,False,1,1,spotify:track:5f2wSctNJlAOUAaRxQAcoM,155.832,audio_features,4,-8.736,0,0.0423,0.0635,0.684,0.49,0.883,https://api.spotify.com/v1/tracks/5f2wSctNJlAOUAaRxQAcoM,https://api.spotify.com/v1/audio-analysis/5f2wSctNJlAOUAaRxQAcoM,227707,4,0.0121,0.0,"['alternative rock', 'neo mellow', 'permanent wave', 'pop rock', 'post-grunge', 'rock', 'tempe indie']",59,[],52,1996-01-01
57,6rqkwoZu5oX5hugeyiJCM8,6kXp61QMZFPcKMcRPqoiVj,3PsTJAxjU734jZSuiLHUtE,Follow You Down,Gin Blossoms,Congratulations I'm Sorry,False,1,3,spotify:track:6rqkwoZu5oX5hugeyiJCM8,155.829,audio_features,4,-7.047,0,0.0449,0.0342,0.68,0.461,0.924,https://api.spotify.com/v1/tracks/6rqkwoZu5oX5hugeyiJCM8,https://api.spotify.com/v1/audio-analysis/6rqkwoZu5oX5hugeyiJCM8,270067,4,0.0123,0.0,"['alternative rock', 'neo mellow', 'permanent wave', 'pop rock', 'post-grunge', 'rock', 'tempe indie']",59,[],51,1996-01-01
78,2hnMS47jN0etwvFPzYk11f,0EdvGhlC1FkGItLOWQzG4J,14eK347GdWO4mBBx78tsut,Santeria,Sublime,Sublime,False,1,6,spotify:track:2hnMS47jN0etwvFPzYk11f,90.807,audio_features,1,-5.021,0,0.0395,0.188,0.567,0.682,0.765,https://api.spotify.com/v1/tracks/2hnMS47jN0etwvFPzYk11f,https://api.spotify.com/v1/audio-analysis/2hnMS47jN0etwvFPzYk11f,182747,4,0.0268,3.42e-05,"['reggae fusion', 'ska mexicano', 'ska punk']",72,[],76,1996-07-30
