popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,explicit,disc_number,track_number,uri,tempo,type,key,loudness,mode,speechiness,liveness,valence,danceability,energy,track_href,analysis_url,duration_ms,time_signature,acousticness,instrumentalness,artist_genres,artist_popularity,album_genres,album_popularity,album_release_date
78,5iSEsR6NKjlC9SrIJkyL3k,0fA0VVWsXO9YnASrzqfmYu,47y3PbX8oIDCkYAFylCJz0,Pursuit Of Happiness (Nightmare),Kid Cudi,Man On The Moon: The End Of Day,True,1,13,spotify:track:5iSEsR6NKjlC9SrIJkyL3k,115.277,audio_features,0,-8.951,1,0.0414,0.298,0.266,0.63,0.605,https://api.spotify.com/v1/tracks/5iSEsR6NKjlC9SrIJkyL3k,https://api.spotify.com/v1/audio-analysis/5iSEsR6NKjlC9SrIJkyL3k,295293,4,0.484,9.29e-05,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",86,[],75,2009-09-15
73,5FEXPoPnzueFJQCPRIrC3c,0fA0VVWsXO9YnASrzqfmYu,47y3PbX8oIDCkYAFylCJz0,Day 'N' Nite (nightmare),Kid Cudi,Man On The Moon: The End Of Day,False,1,7,spotify:track:5FEXPoPnzueFJQCPRIrC3c,137.996,audio_features,11,-6.25,0,0.0761,0.114,0.799,0.871,0.44,https://api.spotify.com/v1/tracks/5FEXPoPnzueFJQCPRIrC3c,https://api.spotify.com/v1/audio-analysis/5FEXPoPnzueFJQCPRIrC3c,221267,4,0.499,4.15e-06,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",86,[],75,2009-09-15
68,1cdC9TCqyLwAlsw3fVJaJS,0fA0VVWsXO9YnASrzqfmYu,47y3PbX8oIDCkYAFylCJz0,Soundtrack 2 My Life,Kid Cudi,Man On The Moon: The End Of Day,True,1,2,spotify:track:1cdC9TCqyLwAlsw3fVJaJS,86.501,audio_features,9,-6.653,0,0.128,0.37,0.444,0.464,0.754,https://api.spotify.com/v1/tracks/1cdC9TCqyLwAlsw3fVJaJS,https://api.spotify.com/v1/audio-analysis/1cdC9TCqyLwAlsw3fVJaJS,235627,4,0.465,1.57e-05,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",86,[],75,2009-09-15
59,6Bs8KdjRAuv3rzCIdchXwu,0fA0VVWsXO9YnASrzqfmYu,47y3PbX8oIDCkYAFylCJz0,Enter Galactic (Love Connection Part I),Kid Cudi,Man On The Moon: The End Of Day,True,1,9,spotify:track:6Bs8KdjRAuv3rzCIdchXwu,120.004,audio_features,10,-7.936,0,0.0395,0.449,0.797,0.75,0.71,https://api.spotify.com/v1/tracks/6Bs8KdjRAuv3rzCIdchXwu,https://api.spotify.com/v1/audio-analysis/6Bs8KdjRAuv3rzCIdchXwu,260200,4,0.107,0.000989,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",86,[],75,2009-09-15
55,6MWH4pJQ5QYjidX2A2KECd,0fA0VVWsXO9YnASrzqfmYu,47y3PbX8oIDCkYAFylCJz0,Up Up & Away,Kid Cudi,Man On The Moon: The End Of Day,True,1,15,spotify:track:6MWH4pJQ5QYjidX2A2KECd,120.017,audio_features,10,-6.119,0,0.0849,0.362,0.586,0.66,0.881,https://api.spotify.com/v1/tracks/6MWH4pJQ5QYjidX2A2KECd,https://api.spotify.com/v1/audio-analysis/6MWH4pJQ5QYjidX2A2KECd,227347,4,0.0722,3.4e-05,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",86,[],75,2009-09-15
54,6P9uVc2SxCOAiextf4udxk,0fA0VVWsXO9YnASrzqfmYu,47y3PbX8oIDCkYAFylCJz0,Cudi Zone,Kid Cudi,Man On The Moon: The End Of Day,True,1,11,spotify:track:6P9uVc2SxCOAiextf4udxk,134.751,audio_features,9,-5.86,0,0.0338,0.366,0.597,0.706,0.691,https://api.spotify.com/v1/tracks/6P9uVc2SxCOAiextf4udxk,https://api.spotify.com/v1/audio-analysis/6P9uVc2SxCOAiextf4udxk,259040,4,0.546,1.3e-06,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",86,[],75,2009-09-15
54,6gyaXDZS45uIpyETSTibQ9,0fA0VVWsXO9YnASrzqfmYu,47y3PbX8oIDCkYAFylCJz0,Sky Might Fall,Kid Cudi,Man On The Moon: The End Of Day,True,1,8,spotify:track:6gyaXDZS45uIpyETSTibQ9,194.276,audio_features,10,-7.565,0,0.141,0.245,0.347,0.565,0.722,https://api.spotify.com/v1/tracks/6gyaXDZS45uIpyETSTibQ9,https://api.spotify.com/v1/audio-analysis/6gyaXDZS45uIpyETSTibQ9,220907,4,0.252,0.107,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",86,[],75,2009-09-15
71,5wfllwdjglyQislkskYLBv,0fA0VVWsXO9YnASrzqfmYu,2S8AWAM0nxyFy66YnUfIs3,Day 'N' Nite (nightmare),Kid Cudi,Man On The Moon: The End Of Day (Deluxe),False,1,7,spotify:track:5wfllwdjglyQislkskYLBv,138.014,audio_features,11,-6.278,0,0.0646,0.119,0.804,0.881,0.441,https://api.spotify.com/v1/tracks/5wfllwdjglyQislkskYLBv,https://api.spotify.com/v1/audio-analysis/5wfllwdjglyQislkskYLBv,221240,4,0.48,9.08e-06,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",86,[],75,2009-01-01
68,6MtKObWYda2qnNIpJI21uD,0fA0VVWsXO9YnASrzqfmYu,2S8AWAM0nxyFy66YnUfIs3,Pursuit Of Happiness (Nightmare),Kid Cudi,Man On The Moon: The End Of Day (Deluxe),True,1,13,spotify:track:6MtKObWYda2qnNIpJI21uD,115.277,audio_features,0,-8.951,1,0.0414,0.298,0.266,0.63,0.605,https://api.spotify.com/v1/tracks/6MtKObWYda2qnNIpJI21uD,https://api.spotify.com/v1/audio-analysis/6MtKObWYda2qnNIpJI21uD,295293,4,0.484,9.29e-05,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",86,[],75,2009-01-01
66,03MWa1FMygR3RrQoQytsjS,0fA0VVWsXO9YnASrzqfmYu,2S8AWAM0nxyFy66YnUfIs3,Cudi Zone,Kid Cudi,Man On The Moon: The End Of Day (Deluxe),True,1,11,spotify:track:03MWa1FMygR3RrQoQytsjS,134.751,audio_features,9,-5.86,0,0.0338,0.366,0.597,0.706,0.691,https://api.spotify.com/v1/tracks/03MWa1FMygR3RrQoQytsjS,https://api.spotify.com/v1/audio-analysis/03MWa1FMygR3RrQoQytsjS,259040,4,0.546,1.3e-06,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",86,[],75,2009-01-01
66,1RUTIdTnFs8lHSc0Zr4UJB,0fA0VVWsXO9YnASrzqfmYu,2S8AWAM0nxyFy66YnUfIs3,Up Up & Away,Kid Cudi,Man On The Moon: The End Of Day (Deluxe),True,1,15,spotify:track:1RUTIdTnFs8lHSc0Zr4UJB,120.017,audio_features,10,-6.119,0,0.0849,0.362,0.586,0.66,0.881,https://api.spotify.com/v1/tracks/1RUTIdTnFs8lHSc0Zr4UJB,https://api.spotify.com/v1/audio-analysis/1RUTIdTnFs8lHSc0Zr4UJB,227347,4,0.0722,3.4e-05,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",86,[],75,2009-01-01
65,0rFpcfF0YfvFUYsl99Bw9d,0fA0VVWsXO9YnASrzqfmYu,2S8AWAM0nxyFy66YnUfIs3,Soundtrack 2 My Life,Kid Cudi,Man On The Moon: The End Of Day (Deluxe),True,1,2,spotify:track:0rFpcfF0YfvFUYsl99Bw9d,86.501,audio_features,9,-6.653,0,0.128,0.37,0.444,0.464,0.754,https://api.spotify.com/v1/tracks/0rFpcfF0YfvFUYsl99Bw9d,https://api.spotify.com/v1/audio-analysis/0rFpcfF0YfvFUYsl99Bw9d,235627,4,0.465,1.57e-05,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",86,[],75,2009-01-01
64,78T9DulqSBWqkaxczcGBfk,0fA0VVWsXO9YnASrzqfmYu,2S8AWAM0nxyFy66YnUfIs3,Man On The Moon,Kid Cudi,Man On The Moon: The End Of Day (Deluxe),True,1,16,spotify:track:78T9DulqSBWqkaxczcGBfk,90.991,audio_features,0,-8.924,1,0.066,0.359,0.497,0.649,0.659,https://api.spotify.com/v1/tracks/78T9DulqSBWqkaxczcGBfk,https://api.spotify.com/v1/audio-analysis/78T9DulqSBWqkaxczcGBfk,210893,4,0.638,2.71e-05,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",86,[],75,2009-01-01
