,popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,explicit,disc_number,track_number,uri,tempo,type,key,loudness,mode,speechiness,liveness,valence,danceability,energy,track_href,analysis_url,duration_ms,time_signature,acousticness,instrumentalness,artist_genres,artist_popularity,album_genres,album_popularity,album_release_date
0,81,7GgWAITsYJaRM3r50rfh5w,4dpARuHxo51G3z768sgnrY,3AvPX1B1HiFROvYjLb5Qwi,When We Were Young,Adele,25,False,1,4,spotify:track:7GgWAITsYJaRM3r50rfh5w,144.361,audio_features,3,-5.936,1,0.0496,0.095,0.265,0.376,0.595,https://api.spotify.com/v1/tracks/7GgWAITsYJaRM3r50rfh5w,https://api.spotify.com/v1/audio-analysis/7GgWAITsYJaRM3r50rfh5w,290900,4,0.303,0.0,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2015-11-20
1,80,7B5Npv8NjjTCzk8PLpU66h,4dpARuHxo51G3z768sgnrY,3AvPX1B1HiFROvYjLb5Qwi,Love In The Dark,Adele,25,False,1,8,spotify:track:7B5Npv8NjjTCzk8PLpU66h,109.821,audio_features,9,-6.057,0,0.0309,0.109,0.152,0.331,0.341,https://api.spotify.com/v1/tracks/7B5Npv8NjjTCzk8PLpU66h,https://api.spotify.com/v1/audio-analysis/7B5Npv8NjjTCzk8PLpU66h,285935,4,0.528,0.0,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2015-11-20
2,79,0t7fVeEJxO2Xi4H2K5Svc9,4dpARuHxo51G3z768sgnrY,3AvPX1B1HiFROvYjLb5Qwi,Send My Love (To Your New Lover),Adele,25,False,1,2,spotify:track:0t7fVeEJxO2Xi4H2K5Svc9,164.069,audio_features,6,-8.363,0,0.0865,0.172,0.567,0.688,0.533,https://api.spotify.com/v1/tracks/0t7fVeEJxO2Xi4H2K5Svc9,https://api.spotify.com/v1/audio-analysis/0t7fVeEJxO2Xi4H2K5Svc9,223079,4,0.0355,3.48e-06,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2015-11-20
3,77,05TOt5Vz4StdjMpEdFPlvB,4dpARuHxo51G3z768sgnrY,3AvPX1B1HiFROvYjLb5Qwi,All I Ask,Adele,25,False,1,10,spotify:track:05TOt5Vz4StdjMpEdFPlvB,141.916,audio_features,4,-5.494,1,0.0283,0.124,0.348,0.591,0.28,https://api.spotify.com/v1/tracks/05TOt5Vz4StdjMpEdFPlvB,https://api.spotify.com/v1/audio-analysis/05TOt5Vz4StdjMpEdFPlvB,271800,4,0.889,0.0,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2015-11-20
4,78,62PaSfnXSMyLshYJrlTuL3,4dpARuHxo51G3z768sgnrY,3AvPX1B1HiFROvYjLb5Qwi,Hello,Adele,25,False,1,1,spotify:track:62PaSfnXSMyLshYJrlTuL3,78.991,audio_features,5,-6.134,0,0.0305,0.0854,0.288,0.578,0.43,https://api.spotify.com/v1/tracks/62PaSfnXSMyLshYJrlTuL3,https://api.spotify.com/v1/audio-analysis/62PaSfnXSMyLshYJrlTuL3,295502,4,0.33,0.0,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2015-11-20
5,74,4jL6WWKFDqCOPo2hC3VhSS,4dpARuHxo51G3z768sgnrY,3AvPX1B1HiFROvYjLb5Qwi,Water Under the Bridge,Adele,25,False,1,6,spotify:track:4jL6WWKFDqCOPo2hC3VhSS,94.963,audio_features,5,-6.503,0,0.0615,0.105,0.538,0.59,0.833,https://api.spotify.com/v1/tracks/4jL6WWKFDqCOPo2hC3VhSS,https://api.spotify.com/v1/audio-analysis/4jL6WWKFDqCOPo2hC3VhSS,240439,4,0.0142,5.4e-06,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2015-11-20
6,70,5CjKwY7FUJgKSwTVzoQIaU,4dpARuHxo51G3z768sgnrY,3AvPX1B1HiFROvYjLb5Qwi,Remedy,Adele,25,False,1,5,spotify:track:5CjKwY7FUJgKSwTVzoQIaU,162.355,audio_features,2,-6.475,1,0.0378,0.154,0.24,0.405,0.3,https://api.spotify.com/v1/tracks/5CjKwY7FUJgKSwTVzoQIaU,https://api.spotify.com/v1/audio-analysis/5CjKwY7FUJgKSwTVzoQIaU,245427,3,0.894,0.0,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2015-11-20
7,70,0ijHEBUBXIJPp5ubUkDLQi,4dpARuHxo51G3z768sgnrY,3AvPX1B1HiFROvYjLb5Qwi,Million Years Ago,Adele,25,False,1,9,spotify:track:0ijHEBUBXIJPp5ubUkDLQi,105.929,audio_features,1,-7.623,0,0.0276,0.11,0.179,0.72,0.274,https://api.spotify.com/v1/tracks/0ijHEBUBXIJPp5ubUkDLQi,https://api.spotify.com/v1/audio-analysis/0ijHEBUBXIJPp5ubUkDLQi,227066,4,0.742,0.0,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2015-11-20
8,68,6QSJvH2m7QLAiFIywwzCVi,4dpARuHxo51G3z768sgnrY,3AvPX1B1HiFROvYjLb5Qwi,I Miss You,Adele,25,False,1,3,spotify:track:6QSJvH2m7QLAiFIywwzCVi,113.072,audio_features,5,-4.246,1,0.047,0.433,0.156,0.382,0.578,https://api.spotify.com/v1/tracks/6QSJvH2m7QLAiFIywwzCVi,https://api.spotify.com/v1/audio-analysis/6QSJvH2m7QLAiFIywwzCVi,348625,4,0.00982,1.44e-05,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2015-11-20
9,68,3hwu7jZD2TjvWCeHzNlgSE,4dpARuHxo51G3z768sgnrY,3AvPX1B1HiFROvYjLb5Qwi,River Lea,Adele,25,False,1,7,spotify:track:3hwu7jZD2TjvWCeHzNlgSE,82.378,audio_features,1,-5.588,1,0.0311,0.116,0.252,0.384,0.585,https://api.spotify.com/v1/tracks/3hwu7jZD2TjvWCeHzNlgSE,https://api.spotify.com/v1/audio-analysis/3hwu7jZD2TjvWCeHzNlgSE,225427,4,0.0591,1.77e-06,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2015-11-20
10,63,10tHyoc3wSA5scOVZuMcFm,4dpARuHxo51G3z768sgnrY,3AvPX1B1HiFROvYjLb5Qwi,Sweetest Devotion,Adele,25,False,1,11,spotify:track:10tHyoc3wSA5scOVZuMcFm,155.89,audio_features,0,-5.471,1,0.0396,0.125,0.266,0.416,0.752,https://api.spotify.com/v1/tracks/10tHyoc3wSA5scOVZuMcFm,https://api.spotify.com/v1/audio-analysis/10tHyoc3wSA5scOVZuMcFm,251702,3,0.251,0.0,"['british soul', 'pop', 'pop soul', 'uk pop']",96,[],84,2015-11-20
11,24,0UsmyJDsst2xhX1ZiFF3JW,6kfcndVsu8F9Y5gL5xc717,5gWxh24iphqQ8WDh8MBMfe,Year2015,Schoolgirl Byebye,軟弱,False,1,1,spotify:track:0UsmyJDsst2xhX1ZiFF3JW,69.893,audio_features,9,-15.775,1,0.0342,0.16,0.161,0.314,0.0855,https://api.spotify.com/v1/tracks/0UsmyJDsst2xhX1ZiFF3JW,https://api.spotify.com/v1/audio-analysis/0UsmyJDsst2xhX1ZiFF3JW,74302,3,0.969,0.795,"['chinese indie', 'sinogaze', 'southern china indie', 'taiwan pop']",39,[],41,2020-09-16
12,80,7H0ya83CMmgFcOhw0UB6ow,56ZTgzPBDge0OvCGgMO3OY,194CqC2Zi0kUFEPWedb3qr,Space Song,Beach House,Depression Cherry,False,1,3,spotify:track:7H0ya83CMmgFcOhw0UB6ow,147.067,audio_features,0,-7.311,0,0.0297,0.145,0.601,0.508,0.792,https://api.spotify.com/v1/tracks/7H0ya83CMmgFcOhw0UB6ow,https://api.spotify.com/v1/audio-analysis/7H0ya83CMmgFcOhw0UB6ow,320467,4,0.229,0.124,"['baltimore indie', 'dream pop', 'dreamo', 'modern dream pop']",74,[],73,2015-08-28
13,60,5JyJsAZyLTD7W5oWLeB0JK,56ZTgzPBDge0OvCGgMO3OY,194CqC2Zi0kUFEPWedb3qr,PPP,Beach House,Depression Cherry,False,1,6,spotify:track:5JyJsAZyLTD7W5oWLeB0JK,104.882,audio_features,1,-7.685,1,0.0284,0.0568,0.153,0.49,0.466,https://api.spotify.com/v1/tracks/5JyJsAZyLTD7W5oWLeB0JK,https://api.spotify.com/v1/audio-analysis/5JyJsAZyLTD7W5oWLeB0JK,368547,3,0.364,0.888,"['baltimore indie', 'dream pop', 'dreamo', 'modern dream pop']",74,[],73,2015-08-28
14,53,2V0T2LS0pf2r3EFpOEkZFO,6mdiAmATAx73kdxrNrnlao,2O3sMtk9Zy2RxocOURUFhr,Wasted Years - 2015 Remaster,Iron Maiden,Somewhere in Time (2015 - Remaster),False,1,2,spotify:track:2V0T2LS0pf2r3EFpOEkZFO,154.221,audio_features,4,-4.657,0,0.0908,0.161,0.492,0.314,0.959,https://api.spotify.com/v1/tracks/2V0T2LS0pf2r3EFpOEkZFO,https://api.spotify.com/v1/audio-analysis/2V0T2LS0pf2r3EFpOEkZFO,309640,4,0.0263,0.000148,"['hard rock', 'metal', 'nwobhm', 'rock']",75,[],48,1986-09-29
15,86,5E30LdtzQTGqRvNd7l6kG5,77SW9BnxLY8rJ0RciFqkHh,18iFxjZugvKhuNNMbLjZJF,Daddy Issues,The Neighbourhood,Wiped Out!,False,1,6,spotify:track:5E30LdtzQTGqRvNd7l6kG5,85.012,audio_features,10,-9.461,1,0.0329,0.123,0.337,0.588,0.521,https://api.spotify.com/v1/tracks/5E30LdtzQTGqRvNd7l6kG5,https://api.spotify.com/v1/audio-analysis/5E30LdtzQTGqRvNd7l6kG5,260173,4,0.0678,0.149,"['modern alternative rock', 'modern rock', 'pop']",85,[],82,2015-10-30
